age,net_rotation_median_deg_per_myr,net_rotation_mad_deg_per_myr,trench_migration_mean_mm_per_yr,trench_migration_median_mm_per_yr,trench_migration_mad_mm_per_yr,percent_trenches_retreating
5,0.1171,0.0018,3.2754,2.5547,9.1729,56.6070
10,0.2004,0.0018,6.1038,4.2763,10.1504,68.2086
15,0.1977,0.0020,6.2166,5.0151,11.7755,69.1840
20,0.1587,0.0014,10.5152,7.1569,16.6267,67.1581
25,0.0786,0.0047,11.9917,10.3951,11.0454,73.9286
30,0.1431,0.0080,11.6350,10.2291,15.4995,69.2444
35,0.1150,0.0081,9.2765,8.2656,13.4232,68.7217
40,0.0895,0.0059,16.1997,10.6825,12.2793,73.4479
45,0.0785,0.0016,11.9533,8.2991,11.8161,68.9655
50,0.0985,0.0284,13.2562,8.7311,12.9457,69.9814
55,0.1159,0.0065,8.0151,7.2081,13.4144,69.0722
60,0.1404,0.0016,8.5392,5.9172,10.8397,66.4480
65,0.1401,0.0039,10.1326,6.0862,12.8390,67.5238
70,0.1610,0.0033,12.5019,8.7489,11.8804,72.8438
75,0.2205,0.0031,12.8889,10.2528,14.9717,67.2772
80,0.3030,0.0345,7.8656,10.0483,17.1866,67.8330
85,0.3005,0.0091,4.9111,9.4467,18.0482,65.0442
90,0.1704,0.0038,11.3216,8.0581,18.0653,62.0137
95,0.2098,0.0022,13.6478,10.4197,14.7156,74.4000
100,0.1131,0.0010,14.9062,12.1067,14.1660,79.5687
105,0.1479,0.0024,19.9986,23.1687,17.9747,79.6060
110,0.1691,0.0034,20.0000,21.7582,18.0944,78.4493
115,0.1635,0.0023,20.0000,17.6757,19.8380,80.5017
120,0.1052,0.0018,19.9934,18.6452,19.5007,78.8166
125,0.0765,0.0137,18.0229,11.7115,13.1442,79.4632
130,0.0727,0.0164,14.0795,13.2898,22.7394,62.5148
135,0.0843,0.0244,12.1688,8.1130,17.9589,61.7613
140,0.0878,0.0057,14.4824,9.1542,12.3569,75.0311
145,0.0809,0.0011,13.8092,9.1107,14.8019,69.1635
150,0.1461,0.0029,10.0869,5.8863,13.2466,63.3249
155,0.0672,0.0041,9.0503,2.3174,18.5215,54.4288
160,0.0800,0.0008,6.6585,1.8424,17.6722,55.1414
165,0.0871,0.0004,3.8985,-0.4887,16.9134,49.5119
170,0.0673,0.0001,3.4193,0.8872,8.2181,52.8591
175,0.0987,0.0016,5.2110,5.0922,4.9229,75.1793
180,0.1293,0.0033,3.4065,4.8101,4.7626,71.0042
185,0.1110,0.0003,5.1055,0.0151,3.9865,67.3239
190,0.1142,0.0003,5.1372,0.0153,3.9836,67.8371
195,0.1371,0.0013,5.0250,-0.0011,4.1265,47.1074
200,0.1423,0.0013,4.8065,-0.0012,4.7727,45.7182
205,0.3000,0.0021,1.8754,0.1371,1.2510,60.7427
210,0.3000,0.0024,1.1524,0.1115,2.0358,53.9177
215,0.2999,0.0031,1.0736,-0.4801,5.8701,45.6349
220,0.2999,0.0033,0.3564,-0.9734,7.2603,46.9737
225,0.2349,0.0032,0.0000,0.4500,2.8663,53.9177
230,0.2824,0.0034,3.3178,0.0000,1.0093,47.1182
235,0.0915,0.0024,5.3792,5.8930,18.0734,60.6849
240,0.0947,0.0024,5.8210,6.5108,18.1450,62.4835
245,0.0885,0.0017,6.2857,7.1041,21.6468,58.2147
250,0.0970,0.0022,6.0009,6.8961,21.7588,58.7933
255,0.1850,0.0014,1.7814,1.0202,8.3546,53.5368
260,0.1892,0.0002,7.7589,1.3594,7.7974,54.2348
265,0.2922,0.0005,6.1376,-0.0016,5.5674,42.1918
270,0.2986,0.0010,-7.7846,-0.6253,11.0180,42.0485
275,0.2603,0.0014,6.5575,0.0000,6.5888,49.6063
280,0.2865,0.0017,10.0360,0.1431,6.8299,62.5000
285,0.0802,0.0013,10.4888,8.1088,11.5046,69.8027
290,0.0808,0.0017,10.3696,8.0550,11.7381,69.5915
295,0.0815,0.0016,6.7143,4.8012,7.6252,63.6228
300,0.0852,0.0016,6.6507,4.8771,7.7955,63.3234
305,0.2477,0.0011,0.3243,0.0014,9.5378,50.9182
310,0.3055,0.0023,-8.5920,0.5316,14.7784,53.7931
315,0.1902,0.0011,-0.0000,5.7904,18.3405,57.3888
320,0.2113,0.0010,-0.0001,5.0893,18.4217,57.2304
325,0.3001,0.0039,-6.1012,-3.4626,26.9306,44.5161
330,0.1657,0.0034,-0.0000,2.1545,30.7285,52.9960
335,0.1163,0.0022,-0.0001,0.3847,29.7101,50.8725
340,0.2665,0.0003,0.0007,0.9448,27.2289,52.7174
345,0.3059,0.0006,1.6969,0.9090,29.3438,54.0832
350,0.2999,0.0006,5.7018,6.9576,32.5140,56.5345
355,0.3018,0.0050,0.6184,3.9221,36.3227,55.3598
360,0.2965,0.0036,3.6127,19.1904,34.6199,58.7912
365,0.3050,0.0026,19.3614,26.6149,25.5538,70.0544
370,0.3008,0.0020,16.9239,14.2835,23.7128,61.7874
375,0.1833,0.0028,14.3810,13.1159,18.4966,62.3423
380,0.2052,0.0030,15.1471,17.7422,17.9511,68.1416
385,0.2999,0.0028,11.0595,11.3602,25.7734,61.8759
390,0.3000,0.0026,18.8926,22.3060,22.1880,72.8374
395,0.2271,0.0019,16.0023,13.4596,14.0597,75.5521
400,0.2342,0.0020,11.1365,11.3195,15.9063,69.4402
405,0.3001,0.0016,9.0607,9.6103,16.3979,63.4294
410,0.3000,0.0003,8.6731,7.7404,16.3667,63.3739
